Trap,Site,latitude,longitude,elevmean,slopemean,d.roads,d.river,d.water.area,d.settlements,GFC30mean,GFC50mean,GFC75mean,GFC90mean,VCFmean,Contigmean,CWEDmean,DCADmean
1,RDSA,-2.43865,-64.66026,136.8378378,2.046665759,247326.3189,1446.76157,5620.304156,45520.53366,1,1,1,1,81,0.958705008,0,1.359509945
2,RDSA,-2.51364,-64.6325,123.3470149,1.58501262,239173.9858,2389.425046,3215.669411,48972.4618,1,1,1,1,81,0.926668144,0.146716765,1.468052873
3,RDSA,-2.47573,-64.6355,117.3374083,3.791528098,242449.3609,1303.64004,3765.701275,48277.33849,1,1,1,1,74.33333333,0.554551725,9.085639291,5.866428256
4,RDSA,-2.52199,-64.64866,120.2576687,2.579200076,239756.1632,2801.580033,2424.284248,47323.0439,1,1,1,1,76.59216502,0.958705008,0,1.359509945
5,RDSA,-2.52016,-64.60734,141.5551471,2.162561503,236724.3,4046.239652,6065.399423,51841.34429,1,1,1,1,81,0.958705008,0,1.359509945
6,RDSA,-2.47828,-64.67484,130.0098888,3.337892628,245255.2096,1738.5455,2283.016195,43921.11475,1,1,1,1,79,0.68050146,21.44534365,4.455787006
7,RDSA,-2.46056,-64.68134,133.3915737,2.90911462,247170.2413,1162.213146,2765.753697,43134.9033,1,1,1,1,79.33333333,0.958705008,0,1.359509945
8,RDSA,-2.48598,-64.64894,121.7425743,3.554025131,242649.6287,52.83468723,1922.558388,46848.98145,1,1,1,1,74.5,0.280288864,42.99205241,19.99681627
9,RDSA,-2.49141,-64.6289,125.6749073,2.00124598,240682.4769,182.365736,3486.1895,49116.04108,1,1,1,1,77.5,0.958705008,0,1.359509945
10,RDSA,-2.52592,-64.6218,114.6522277,1.328583371,237370.1666,4031.223832,4343.347856,50341.56558,1,1,1,1,82.20538861,0.958705008,0,1.359509945
11,RDSA,-2.49269,-64.66358,115.7886279,3.571656062,243238.6693,311.668903,664.1552534,45284.17364,0.808641975,0.796296296,0.790123457,0.790123457,78,0.401683275,56.68835037,21.56040225
